"","quad_ctrl_1","quad_ctrl_2","quad_ctrl_3","quad_ctrl_4","quad_ctrl_5","quad_ctrl_6","quad_KO_1","quad_KO_2","quad_KO_3","quad_KO_4","quad_KO_5","quad_KO_6","sol_ctrl_1","sol_ctrl_2","sol_ctrl_3","sol_ctrl_4","sol_ctrl_5","sol_ctrl_6","sol_KO_1","sol_KO_2","sol_KO_3","sol_KO_4","sol_KO_5","sol_KO_6"
"Lrrc52",4.55985898201393,5.2326765071839,5.2818165598241,4.88589971394223,4.39008009789226,5.2498421465484,4.15641317842427,4.43724639705203,4.29595997969872,4.74125432732891,3.87383153018561,4.68531988587887,5.73893887635168,7.69596640062485,8.06497665359412,7.56425173063094,5.50381319202799,6.83378273835347,4.28762053665351,4.61114991800751,4.61763730114897,5.27146678963989,4.3482305428131,5.02256813925187
"Prkag3",9.48262278111837,8.9688469543147,9.5342818055405,8.38197823727609,9.78837219705855,9.20476704762462,8.33871624637402,8.09292756299327,8.47976859168215,8.29578082515785,8.39372924633679,8.1624373831889,6.42905101124649,6.20594497779189,6.34976749709311,6.21524127518884,6.6121054593457,6.90165650439674,6.55390156143541,6.91755849692327,6.83709762231084,6.30259990430268,6.23852007262318,6.50404163911335
"Wif1",6.63858412150148,7.4481099244548,7.47816957661712,6.66916067039731,7.26625078528934,6.51328554840465,6.36305168416341,6.40275073665605,6.44620681605328,6.69463531601946,6.80077746240842,5.77997766975592,6.54406714168607,7.09043892741322,7.18649208025054,7.21329150286325,7.27894130048076,6.6471490549684,5.41746134564042,5.51722791543249,5.79007791600673,5.31111261460058,5.64483997054285,5.09060189477212
"Fam78a",6.92614606627502,7.3471986360609,7.49734541702733,6.99318904385576,7.95719559893182,7.18427367736977,5.91197381944983,5.80578121198437,5.9009108458537,6.08052079788953,6.30077632010401,6.17409833817636,5.116964501558,5.19045870811466,5.36194795545017,5.18262944883846,5.48562900262311,5.67062780758311,4.72186543279878,4.56305172134066,4.9757500424793,5.00876961137158,4.96469363041691,4.86170985740326
"Olfml2a",6.46609974357334,6.29050989642955,6.54606680622916,5.5926567064896,6.13673926721994,6.57444173858833,7.76812031602332,8.06845555173936,7.83525534539146,7.64174036473141,7.91082594578518,8.30012453013415,6.82734769280912,6.99307926857244,6.95345811990439,6.84898728301574,7.29310571346988,7.07339157660197,7.37044486316304,7.74526926351119,7.59619001153536,7.1030236730496,7.62615161263551,7.628980753995
"Cers6",4.91439086103709,5.12264761563469,5.1942985833894,4.74846504876913,4.68482793593945,4.90281663729218,6.03197078568722,6.38509678802849,6.10290400218206,6.3590717263668,6.53749082009224,6.08030946663668,5.25873911567607,5.37217831896229,5.60013052860049,5.10912143214995,5.38745125063486,5.1082250282444,5.50194552719898,5.69853087633072,5.70675657764815,5.50560896301943,5.94636823437661,5.38377790495793
"Fam171b",5.72610567786961,5.4535002532369,6.18357922324735,5.21934834653767,5.89891070640978,6.13050274414527,9.39084450873955,9.25425039577341,9.41045817952777,9.41630983234583,9.30567242544155,9.15282027712889,5.87160101187763,5.95364283815243,6.02463338696608,5.95709631533641,6.57587141568874,5.62107830905477,9.47533420879251,9.65318366914273,9.82418247432237,9.01751882031929,9.41389776310233,9.25061390893577
"Ldlrad3",7.98812753515485,7.4448559482461,7.73286427180476,7.90704088867978,7.61837493803169,8.04855526304942,8.96964265910681,9.20306603359699,9.48419456847931,9.35149460576603,8.93087489827318,9.50706697145694,9.68994978940404,9.42930333891689,9.64004242347606,9.58229476561031,8.84441424700013,9.34927666203933,9.8078600908633,9.58905604874634,9.78914153245707,10.0230816626476,9.44889065175892,10.1184769854596
"Frem2",6.26200484033037,4.86157509189167,4.91331167867293,4.67010413229717,5.00675134079642,5.4866192018097,7.38064685040581,7.15659948178954,7.24344122698614,7.63091176257397,7.39294290836993,7.6506079002078,7.61548408552462,6.56743254644593,6.13789930032675,6.33279449838915,6.68685906020573,6.38059271355762,7.68122351478694,7.53359407749439,7.69367438336645,7.7535859178935,7.4361694348995,7.51357299764197
"Igsf10",6.51563769877275,5.81487866693567,6.35690280957111,6.01527268626982,6.05529061589896,6.1870992405638,7.52000849831902,7.57371722728044,7.20176923139032,7.44468965014492,7.53799710712742,7.31059810836738,6.37944901719609,6.41790210479066,6.37575795398327,6.12998563871615,6.58170122342812,6.01030146523992,7.20789440156258,7.30350997166576,7.01871544707546,7.06520465457966,7.35531493297244,6.74818327954499
"Pde5a",5.16194971245327,5.49038295032861,5.43639354409641,5.31858731335883,5.29148946107644,5.75933962680584,6.14396508897744,6.19472636720387,5.89092836168864,5.94557870812843,6.48174084264637,6.35990369297614,6.59057369229999,6.48039481540642,5.99791779382003,6.35456672940775,6.34978598029053,6.2528318835348,7.55490762788509,7.07829902606625,6.97631591521675,7.30250633299514,7.58984595192612,7.77409369784325
"Gdf6",4.46164199146046,4.63154130927303,4.40111625072024,4.15142381711234,4.4623007193414,3.93966652348152,5.40540615838484,5.36220780272249,5.32173845709403,5.36259503588809,5.52649066798194,5.75316421128943,4.83864734446034,4.72746370229844,4.46490203526571,4.45200151663676,4.54507681459423,4.35813524845619,5.01873692103699,4.77557855362114,4.66783538423817,4.902902239805,5.06152926152917,4.63352514166482
"Pm20d2",7.02494509455018,7.72598997691042,7.54416943360873,7.38560323477353,7.28779545458206,8.16947815235897,6.43526803726632,6.35960032959393,6.38363358309189,6.55741350723409,6.42921727188053,6.60665288309195,7.53476096973554,8.25135403228,8.25160777990164,8.25997377784314,8.37299980317067,8.48195601482561,6.60389372905245,6.74263430762633,6.74264217717668,6.66998216001263,6.65413582213841,6.83506461359777
"Myom3",7.88885524343234,6.88609769111442,6.57086475236302,6.82298950543328,6.52984897097805,8.06942195952367,9.31399041166975,9.30858061373904,9.38951982630867,9.90242008857107,9.29424315326197,10.0318689452284,9.92664940374,9.03972286935214,8.8387174960553,9.37469365321722,8.83131773851268,9.66788502788719,10.2390367804993,10.1575945810487,10.1393265847944,10.3650154112237,10.2951676845537,10.8288187043081
"Lrrc38",6.93693435932623,6.94896259133107,6.67744928760311,6.37396166338223,7.5140265370518,7.17034487542032,6.15300246354209,5.9235510829865,5.40160332976185,6.09476737352039,5.55065499756207,5.75324265582351,5.5440895355198,5.22294381913096,5.80259975931602,5.5558172219846,5.76586492732414,6.27391058115879,5.211069276349,4.48691889920559,4.71920647882024,4.75886301068417,4.81879677702487,4.60079964455631
"Napepld",8.36725225125073,7.87180855965471,7.85931936404997,6.87298068658451,7.28111922066607,8.41000580989584,8.04599146075884,8.06273508549162,8.08394495477469,8.05898683519946,8.06764933257773,8.04078810668747,8.83388565210141,9.17038484326657,8.66118303692606,9.1704849591353,9.0533515750718,8.4699226912216,8.848740485754,8.75277940334767,9.01924600529128,8.99200942558956,8.88682719631636,8.86334946352056
"Actr3b",4.16454622992834,6.2314720321479,5.72219874905587,4.93456808139335,5.39037719684399,4.74671730781113,4.27475548868577,3.92116231672427,3.93851252784728,4.13170640575405,4.24592708588138,3.98566618430425,4.85826297079986,4.97518588141206,4.73929142219165,4.49039708425578,6.14806213228703,4.67878623811994,4.33004860057357,4.21946383527509,4.0171856163913,4.25555597144278,4.56876768969694,4.46232623087587
