"","quad_ctrl_1","quad_ctrl_2","quad_ctrl_3","quad_ctrl_4","quad_ctrl_5","quad_ctrl_6","quad_KO_1","quad_KO_2","quad_KO_3","quad_KO_4","quad_KO_5","quad_KO_6","sol_ctrl_1","sol_ctrl_2","sol_ctrl_3","sol_ctrl_4","sol_ctrl_5","sol_ctrl_6","sol_KO_1","sol_KO_2","sol_KO_3","sol_KO_4","sol_KO_5","sol_KO_6"
"10484227",6.34670674185878,6.56841953177582,6.64135226868189,5.18845976334256,6.34274250233643,6.83609234507606,7.25324946228544,7.54461079381702,7.58035007317974,7.3886995293517,7.53919092442319,7.67678004902414,6.70098738076236,6.584773011493,6.89083869572438,6.6677485024711,6.72324112603419,6.76307184547667,7.39869520557798,7.50122664877056,7.54973928539397,7.35803368006151,7.46442030927375,7.50896351087685
"10473965",5.48299366079943,5.34636896896975,5.69446517018612,5.46954649963839,5.66506839537456,5.85328752358311,5.94407695739733,6.09232039069092,5.57706652630881,6.02606655777759,5.67387102732375,5.96558849029388,5.53551182776623,5.67030582786425,5.81959821798277,5.31132535464304,5.53051386494735,5.95559922827948,5.82526238120424,6.08994309184428,5.92695229958878,5.88480469464468,5.71658636352322,5.67953305194048
"10485624",3.84156932528187,3.86910062010111,3.86587455659317,4.10242115816939,3.91580410318132,4.00979794481829,6.68776272519575,7.04133234852684,5.86043709659899,6.59439401947501,6.50358856082424,6.46987138298571,3.56563534024814,4.28929752280602,4.00354258739678,4.06870226298972,3.56159613245261,3.87908513824594,5.39326427816667,6.08896352170832,5.57264064554629,5.4575959940461,5.48410467182048,5.13330208817758
"10485745",2.340272239734,2.76632591977153,2.45681580151173,2.53377515155893,2.3599091109148,2.4652948207209,2.63169008566779,2.79738246846931,2.53049606998252,3.34544312469872,3.14749301625713,3.25521388957068,2.5721734575304,2.79607534550247,2.78870443531452,2.38418964931029,2.58771840778784,2.35250304644008,4.33679918094293,4.03481981551798,3.63063377053576,5.1629699279373,5.48355854881956,5.59637904518157
"10485963",4.58660725285728,4.36749857472555,4.55702134406164,4.40646368821798,3.95177894096185,4.80877746714659,5.21827302827711,4.72838484806994,5.05769640603941,4.99339361133935,5.31898752540522,4.92382233984395,4.0791550331247,4.40063871987551,4.48607350880786,4.53131057529976,4.31821251846316,4.47692959488775,4.94975596640473,5.07101860988114,5.0274597432325,5.08730488738996,4.82535733533497,4.94912495926412
"10487447",5.92493023707415,6.38957674229303,6.2025200288033,5.94679314942252,5.47995241914601,6.09312111693533,6.09106958869881,6.52620316766755,6.25461623039261,6.30066443568485,6.0281550784153,5.80016906282831,6.09099130688038,6.21623092510781,6.23383839839751,5.94130076447466,5.917650482643,5.58893331329563,7.04569667334172,7.05617427701254,6.96652899499704,6.88975881721576,6.74942218006806,6.43850344073225
"10476108",4.43633858105028,4.41811926893971,4.32263287251846,4.71358922807435,4.41179773236057,4.32882321323645,4.42451077099532,4.39412078395645,4.35643468191615,4.11399714862933,4.3510557231928,4.32222833884449,4.98324038440802,4.86927544740813,4.83527189753379,4.93786376323566,4.74268334912611,4.53833732938777,4.65251822498309,4.77721717558187,4.82385201904185,4.63356195871444,4.7606805538521,4.67372670992395
"10476276",8.66070594874312,8.63583129922928,8.7292313804565,8.12884545498304,8.73377141037816,9.17667280561018,8.32642949075621,8.6055376258341,8.60422020342337,9.04465546614074,8.39626428477535,8.98211786225914,9.98928320338066,9.75585022737316,9.79993957279652,9.86404680823533,9.42106145679248,9.88944918657432,9.52292387858926,9.5793006935237,9.45607277559359,9.75323838830749,9.40045439680759,10.0064922464759
"10476301",7.50331552782992,8.83945333615422,8.97462602483392,8.25538762151177,8.53456753813814,7.91185593360779,6.66062882436189,6.51418908013595,6.69013203230176,7.15724852561801,6.66111193784593,6.29784615656111,5.89938560095006,5.78622779232277,6.43664572554488,5.82311322388494,6.05587835200271,5.87836746548117,5.90760518725989,5.7730835388479,5.9311959414122,5.47843995964103,5.6953238446281,5.50660695731329
"10476725",5.34614107146424,5.6503734927705,5.52725803103905,7.30401000830859,5.83175659591087,5.75911104298653,4.68438179412659,4.72133595284344,4.79799546947546,5.06011142831883,4.81485973933611,5.01576240341564,4.87855155877643,5.10923845473127,4.98858130796341,5.13048990895496,4.98310328967447,5.16138669955536,4.63037390530507,4.90657406670599,4.34679962106451,4.68410619804683,4.55624783457841,4.88744293765664
